,Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Population,NZDep2018,NZDep2018_Score
977,4,2.0,1075.0,1130000,-36.9063931,174.7067597,18,24,24,9,9,15,96,7.0,1020.0
978,3,1.0,475.0,750000,-36.915571500000006,174.83105830000002,51,48,36,18,12,21,192,8.0,1037.0
979,4,3.0,303.0,1000000,-36.917081,174.70143969999998,39,24,30,21,21,21,156,4.0,949.0
980,5,4.0,651.0,3350000,-36.8851805,174.7818065,21,18,12,9,12,24,99,7.0,1008.0
981,5,4.0,751.0,770000,-36.89890689999999,174.6600901,87,42,30,27,24,15,222,10.0,1150.0
982,5,3.0,390.0,845000,-36.9069713,174.7445629,39,48,15,21,18,27,171,8.0,1044.0
983,4,3.0,221.0,930000,-36.908429999999996,174.7641962,36,21,15,21,24,27,144,4.0,939.0
984,5,4.0,854.0,3125000,-36.8620859,174.8790697,60,18,12,33,21,27,174,2.0,914.0
985,5,3.0,220.0,1240000,-36.8971339,174.7461594,42,51,51,12,30,27,219,5.0,965.0
986,4,2.0,980.0,980000,-36.9227584,174.7565188,36,33,27,21,21,24,168,6.0,991.0
987,2,1.0,306.0,780000,-36.8492709,174.7658971,45,147,60,12,6,6,273,7.0,1009.0
988,3,3.0,607.0,2900000,-36.8561916,174.78264009999998,42,69,42,33,42,60,285,2.0,911.0
989,4,3.0,814.0,2425000,-36.9006191,174.76875090000001,54,27,18,27,33,30,189,6.0,981.0
990,4,1.0,941.0,910000,-36.901547799999996,174.696465,57,45,45,27,33,21,231,8.0,1065.0
991,4,3.0,177.0,970000,-36.9174364,174.7529711,51,36,51,24,15,39,219,6.0,982.0
992,3,1.0,723.0,1140000,-36.8918396,174.7327926,27,27,27,15,18,9,114,3.0,933.0
993,4,2.0,855.0,1225000,-36.9185946,174.7302842,42,33,30,24,18,30,174,4.0,938.0
994,5,2.0,1459.0,2025000,-36.916765600000005,174.7493226,45,45,36,21,30,30,204,4.0,945.0
995,3,2.0,328.0,1080000,-36.902952299999995,174.8461357,12,15,27,27,12,21,114,4.0,950.0
996,3,1.0,1004.0,2475000,-36.877328799999994,174.80579880000002,42,12,9,21,24,27,129,1.0,895.0
997,4,2.0,1171.0,2625000,-36.9000679,174.776469,15,18,3,6,30,30,99,4.0,950.0
998,4,3.0,691.0,1800000,-36.8752869,174.8411526,36,27,24,21,24,48,177,4.0,947.0
999,4,3.0,584.0,1200000,-36.851318299999996,174.83569440000002,21,21,12,18,15,30,123,4.0,940.0
1000,7,3.0,729.0,2000000,-36.861328,174.782615,36,33,33,33,12,42,189,3.0,926.0
1001,5,4.0,650.0,2675000,-36.879031,174.8175216,57,24,21,36,30,54,216,1.0,876.0
1002,5,3.0,506.0,860000,-36.919732200000006,174.7091342,51,42,36,36,24,36,225,4.0,951.0
1003,4,1.0,415.0,1200000,-36.919596399999996,174.6996862,42,42,33,18,18,51,207,5.0,975.0
1004,5,4.0,374.0,1650000,-36.8660323,174.86125769999998,48,24,21,30,27,24,168,3.0,923.0
1005,4,2.0,636.0,1950000,-36.893461,174.7605983,30,15,9,21,21,9,105,2.0,911.0
1006,3,1.0,1204.0,1100000,-36.9115203,174.82483969999998,42,36,36,21,15,15,168,5.0,962.0
1007,3,1.0,607.0,840000,-36.917568700000004,174.69557360000002,27,21,27,6,9,45,138,10.0,1147.0
1008,2,1.0,938.0,1925000,-36.8548799,174.82551030000002,15,12,24,9,15,27,102,6.0,979.0
1009,5,3.0,1262.0,4650000,-36.8539847,174.8084146,18,33,18,12,27,33,138,2.0,905.0
1010,5,4.0,413.0,1375000,-36.917967700000005,174.75512959999998,69,54,39,33,30,18,243,5.0,973.0
1011,3,1.0,3361.0,1650000,-36.92774620000001,174.8519919,78,54,42,30,24,15,231,8.0,1059.0
1012,3,1.0,814.0,1230000,-36.9251294,174.71035569999998,60,27,24,24,33,33,204,4.0,940.0
1013,4,2.0,1100.0,2550000,-36.864488200000004,174.84990980000003,39,9,12,24,24,33,138,1.0,853.0
1014,5,3.0,524.0,1875000,-36.8920958,174.7269886,36,48,27,21,18,24,168,6.0,978.0
1015,4,2.0,721.0,3400000,-36.852993700000006,174.7175488,30,18,6,18,15,30,114,3.0,936.0
1016,3,1.0,494.0,770000,-36.916898100000004,174.7370148,42,39,9,24,18,12,150,10.0,1152.0
1017,5,3.0,1006.0,2475000,-36.8531218,174.8322103,39,12,27,27,27,48,180,1.0,897.0
1018,3,1.0,1867.0,2075000,-36.884704799999994,174.7022144,18,39,27,15,3,12,117,7.0,1022.0
1019,4,3.0,397.0,1160000,-36.8876414,174.7966714,54,30,15,18,24,27,165,5.0,964.0
1020,3,2.0,908.0,1150000,-36.9265598,174.70086650000002,33,24,18,21,27,57,183,6.0,982.0
1021,4,3.0,277.0,1850000,-36.9106508,174.7778042,45,27,51,30,9,30,192,7.0,999.0
1022,5,3.0,308.0,1250000,-36.9059437,174.7174915,39,51,21,15,33,27,189,8.0,1034.0
1023,5,3.0,888.0,3500000,-36.847621600000004,174.869938,78,15,18,33,39,39,213,1.0,890.0
1024,5,3.0,664.0,3900000,-36.847171,174.8701092,78,15,18,33,39,39,213,1.0,890.0
1025,5,3.0,889.0,4100000,-36.84791920000001,174.8701244,78,15,18,33,39,39,213,1.0,890.0
1026,4,2.0,677.0,3450000,-36.8808042,174.8040785,42,27,12,21,30,33,165,5.0,963.0
1027,3,1.0,670.0,830000,-36.9339956,174.8450852,57,36,30,24,21,15,186,7.0,1021.0
1028,4,2.0,837.0,1850000,-36.867321399999994,174.8324686,36,24,24,21,27,12,147,3.0,920.0
1029,6,4.0,3062.0,12250000,-36.872513899999994,174.788572,60,12,15,27,24,33,168,1.0,881.0
1030,4,2.0,652.0,3450000,-36.872448999999996,174.789432,60,12,15,27,24,33,168,1.0,881.0
